Unnamed: 0,bmi,gender,name,width,length,height,weight
0,34.2073961938,Male,img_0.bmp,97,85,154,81.1262608132161
1,26.4537197232,Male,img_1.bmp,85,83,154,62.7376416955411
2,34.9675605536,Female,img_2.bmp,129,124,156,85.097055363241
3,22.044766436,Female,img_3.bmp,68,72,154,52.2813680796176
4,37.7587890625,Female,img_4.bmp,830,837,179,120.982936035156
5,24.8864746094,Female,img_5.bmp,884,889,181,81.5305794678553
6,25.8455882353,Female,img_6.bmp,57,59,153,60.5019375000138
7,21.740700692,Female,img_7.bmp,55,52,153,50.8928062499028
8,30.6158579882,Female,img_8.bmp,186,182,158,76.4294278817425
9,26.7888757396,Female,img_9.bmp,186,185,158,66.8757493963374
10,38.7327823691,Male,img_10.bmp,73,68,154,91.8586666665576
11,30.8248393021,Male,img_11.bmp,67,66,154,73.1041888888604
12,41.3988888889,Male,img_12.bmp,409,406,165,112.70847500003
13,31.0491666667,Male,img_13.bmp,367,374,164,83.5098386667563
14,35.5613965483,Male,img_14.bmp,114,101,155,85.4362552072908
15,34.6188444444,Male,img_15.bmp,304,312,162,90.8536953598834
16,42.5692041522,Female,img_16.bmp,185,175,157,104.928831314758
17,23.5953786473,Male,img_17.bmp,110,119,155,56.6878972001383
18,41.2094594595,Male,img_18.bmp,148,146,156,100.287340540639
19,21.3108108108,Male,img_19.bmp,131,134,156,51.8619891891629
20,26.6224852071,Male,img_20.bmp,91,87,154,63.1378859171584
21,21.6307692308,Male,img_21.bmp,85,83,154,51.2995323077653
22,41.8090397924,Male,img_22.bmp,83,76,154,99.1543187716558
23,22.3488321799,Male,img_23.bmp,95,109,155,53.6930693122098
24,33.8112792969,Female,img_24.bmp,146,144,156,82.2831292969358
25,24.8864746094,Female,img_25.bmp,137,145,156,60.5637246094358
26,40.4928,Male,img_26.bmp,291,299,161,104.96138688
27,30.8511918022,Male,img_27.bmp,468,440,166,85.0135441301423
28,31.4511657215,Male,img_28.bmp,92,94,155,75.5614256459038
29,20.3768115942,Male,img_29.bmp,226,245,160,52.164637681152
30,33.9023919753,Male,img_30.bmp,351,360,164,91.1838734567669
31,27.7999614198,Male,img_31.bmp,341,330,163,73.8617174962666
32,31.4703856749,Female,img_32.bmp,72,73,154,74.6351666665928
33,23.4010560147,Female,img_33.bmp,70,73,154,55.4979444444625
34,29.2252456538,Female,img_34.bmp,188,171,157,72.0373080120516
35,22.1403376165,Female,img_35.bmp,193,196,158,55.2711388258306
36,31.1667387543,Female,img_36.bmp,68,70,154,73.9150376296979
37,27.4323621228,Female,img_37.bmp,278,291,161,71.1074258585099
38,41.6866203791,Male,img_38.bmp,73,69,154,98.8639888910736
39,36.2779133046,Male,img_39.bmp,80,83,154,86.0366991931894
40,39.5759054232,Male,img_40.bmp,581,649,173,118.446727341095
41,28.8904109589,Male,img_41.bmp,499,573,171,84.4784506849195
42,43.5334959655,Male,img_42.bmp,304,271,161,112.843174892173
43,35.6183148808,Male,img_43.bmp,192,176,157,87.7955843496839
44,36.4878892734,Male,img_44.bmp,55,50,153,85.4145000001021
45,25.8455882353,Male,img_45.bmp,60,55,153,60.5019375000138
46,37.9321563182,Male,img_46.bmp,176,153,157,93.4989721087312
47,30.4015076374,Male,img_47.bmp,263,246,160,77.827859551744
48,44.0731095679,Male,img_48.bmp,181,162,157,108.635807773917
49,40.6828703704,Male,img_49.bmp,141,135,156,99.0058333334055
50,27.8220155709,Male,img_50.bmp,34,34,153,65.1285562499198
51,21.2846020761,Male,img_51.bmp,34,33,153,49.8251249999425
52,36.4878892734,Male,img_52.bmp,101,99,155,87.6621539793435
53,27.365916955,Male,img_53.bmp,89,91,155,65.7466154843875
54,35.7277249135,Female,img_54.bmp,45,49,153,83.6350312500121
55,21.2846020761,Female,img_55.bmp,49,56,153,49.8251249999425
56,37.9258494031,Female,img_56.bmp,198,189,158,94.6780904498988
57,23.4010560147,Female,img_57.bmp,207,208,158,58.4183962350971
58,38.2736816406,Female,img_58.bmp,110,109,155,91.9525201415415
59,34.5647762747,Female,img_59.bmp,296,321,162,90.7117988553227
60,30.2446222222,Male,img_60.bmp,128,124,156,73.6033126399459
61,21.9960888889,Male,img_61.bmp,112,108,155,52.8456035555823
62,33.2990677753,Female,img_62.bmp,74,71,154,78.9720691359015
63,23.9115646259,Female,img_63.bmp,47,49,153,55.9745816327693
64,37.5852082869,Male,img_64.bmp,265,253,160,96.218133214464
65,26.6228558699,Male,img_65.bmp,137,119,155,63.9614112274347
66,51.4892578125,Female,img_66.bmp,175,156,157,126.915871582031
67,25.7446289062,Female,img_67.bmp,134,138,156,62.6521289061283
68,41.6866203791,Male,img_68.bmp,248,262,160,106.717748170496
69,29.5500093826,Male,img_69.bmp,210,215,159,74.7053787201511
70,37.9736842105,Male,img_70.bmp,250,218,159,96.001271052565
71,31.8881578947,Male,img_71.bmp,265,261,160,81.633684210432
72,41.9701492537,Male,img_72.bmp,398,391,165,114.263731343198
73,26.3096458008,Male,img_73.bmp,381,391,165,71.628010692678
74,51.4892578125,Female,img_74.bmp,204,183,158,128.537783203125
75,24.0283203125,Female,img_75.bmp,163,173,157,59.2274067382813
76,31.9469822485,Female,img_76.bmp,65,68,154,75.7654631005426
77,34.0789473684,Male,img_77.bmp,191,182,158,85.0746842104738
78,39.9342838049,Male,img_78.bmp,289,339,163,106.101398641239
79,47.4671052632,Male,img_79.bmp,213,193,158,118.496881579052
80,39.4644687013,Female,img_80.bmp,48,47,153,92.3823747828732
81,26.936065939,Female,img_81.bmp,53,52,153,63.0546367566051
82,46.25,Male,img_82.bmp,132,128,156,112.554
83,29.2105263158,Male,img_83.bmp,114,109,155,70.1782894737095
84,41.5003341501,Female,img_84.bmp,57,53,153,97.1481322119691
85,30.8511918022,Female,img_85.bmp,55,52,153,72.21955488977
86,54.1237024221,Female,img_86.bmp,559,545,170,156.417499999869
87,38.0082179931,Female,img_87.bmp,493,489,168,107.274394463725
88,53.6907359651,Male,img_88.bmp,78,71,154,127.332949414831
89,34.1668319778,Male,img_89.bmp,77,75,154,81.0300587185505
90,49.7411555556,Male,img_90.bmp,128,112,155,119.503126222329
91,40.3678222222,Male,img_91.bmp,127,115,155,96.9836928888355
92,35.1426170972,Female,img_92.bmp,573,478,167,98.0092448223811
93,27.4643982357,Female,img_93.bmp,748,771,177,86.0432132326245
94,37.2438964844,Female,img_94.bmp,277,286,161,96.5399040772132
95,32.6098632812,Female,img_95.bmp,270,291,161,84.5280266111985
96,42.2631952663,Male,img_96.bmp,209,187,158,105.505840662791
97,29.950295858,Male,img_97.bmp,225,226,159,75.7173429586098
98,29.285855981,Male,img_98.bmp,159,158,157,72.1867064075669
99,25.1021622694,Male,img_99.bmp,142,143,156,61.0886220988118
100,29.8341049383,Male,img_100.bmp,157,155,157,73.5380852624157
101,24.4097222222,Male,img_101.bmp,175,178,157,60.1675243055008
102,37.2438964844,Female,img_102.bmp,94,100,155,89.478461303771
103,32.0949707031,Female,img_103.bmp,97,99,155,77.1081671141978
104,42.2408267906,Male,img_104.bmp,100,103,155,101.483586364417
105,30.7513219035,Male,img_105.bmp,90,89,154,72.9298350263406
106,29.8341049383,Male,img_106.bmp,157,154,157,73.5380852624157
107,24.4097222222,Male,img_107.bmp,216,217,159,61.7102187499438
108,35.15,Female,img_108.bmp,314,292,161,91.112315
109,25.6810204082,Female,img_109.bmp,267,270,161,66.5677730000952
